team_id,name,shortName,tla,crest
57,"Arsenal FC","Arsenal",ARS,https://crests.football-data.org/57.png
58,"Aston Villa FC","Aston Villa",AVL,https://crests.football-data.org/58.png
61,"Chelsea FC","Chelsea",CHE,https://crests.football-data.org/61.png
62,"Everton FC","Everton",EVE,https://crests.football-data.org/62.png
63,"Fulham FC","Fulham",FUL,https://crests.football-data.org/63.png
64,"Liverpool FC","Liverpool",LIV,https://crests.football-data.org/64.png
65,"Manchester City FC","Man City",MCI,https://crests.football-data.org/65.png
66,"Manchester United FC","Man United",MUN,https://crests.football-data.org/66.png
67,"Newcastle United FC","Newcastle",NEW,https://crests.football-data.org/67.png
71,"Sunderland AFC","Sunderland",SUN,https://crests.football-data.org/71.png
73,"Tottenham Hotspur FC","Tottenham",TOT,https://crests.football-data.org/73.png
76,"Wolverhampton Wanderers FC","Wolverhampton",WOL,https://crests.football-data.org/76.png
328,"Burnley FC","Burnley",BUR,https://crests.football-data.org/328.png
341,"Leeds United FC","Leeds United",LEE,https://crests.football-data.org/341.png
351,"Nottingham Forest FC","Nottingham",NOT,https://crests.football-data.org/351.png
354,"Crystal Palace FC","Crystal Palace",CRY,https://crests.football-data.org/354.png
397,"Brighton & Hove Albion FC","Brighton Hove",BHA,https://crests.football-data.org/397.png
402,"Brentford FC","Brentford",BRE,https://crests.football-data.org/402.png
563,"West Ham United FC","West Ham",WHU,https://crests.football-data.org/563.png
1044,"AFC Bournemouth","Bournemouth",BOU,https://crests.football-data.org/bournemouth.png
