team_id,name,shortName,tla,crest
98,"AC Milan","Milan",MIL,https://crests.football-data.org/98.png
99,"ACF Fiorentina","Fiorentina",FIO,https://crests.football-data.org/99.png
100,"AS Roma","Roma",ROM,https://crests.football-data.org/100.png
102,"Atalanta BC","Atalanta",ATA,https://crests.football-data.org/102.png
103,"Bologna FC 1909","Bologna",BOL,https://crests.football-data.org/103.png
104,"Cagliari Calcio","Cagliari",CAG,https://crests.football-data.org/104.png
107,"Genoa CFC","Genoa",GEN,https://crests.football-data.org/107.png
108,"FC Internazionale Milano","Inter",INT,https://crests.football-data.org/108.png
109,"Juventus FC","Juventus",JUV,https://crests.football-data.org/109.png
110,"SS Lazio","Lazio",LAZ,https://crests.football-data.org/110.png
112,"Parma Calcio 1913","Parma",PAR,https://crests.football-data.org/112.png
113,"SSC Napoli","Napoli",NAP,https://crests.football-data.org/113.png
115,"Udinese Calcio","Udinese",UDI,https://crests.football-data.org/115.png
450,"Hellas Verona FC","Verona",HVE,https://crests.football-data.org/450.png
457,"US Cremonese","Cremonese",CRE,https://crests.football-data.org/457.png
471,"US Sassuolo Calcio","Sassuolo",SAS,https://crests.football-data.org/471.png
487,"AC Pisa 1909","AC Pisa",PIS,https://crests.football-data.org/487.png
586,"Torino FC","Torino",TOR,https://crests.football-data.org/586.png
5890,"US Lecce","Lecce",USL,https://crests.football-data.org/5890.png
7397,"Como 1907","Como 1907",COM,https://crests.football-data.org/7397.png
